Fold,Precision,Recall,F1 Score,ROC AUC
1,0.798990748528175,0.8719596145020652,0.8338819398727233,0.8193185599226682
2,0.823076923076923,0.8679585398828301,0.8449221320465015,0.8382775862298144
3,0.8028583438419504,0.8729433272394881,0.836435296693672,0.8175637488299479
4,0.7988240235195296,0.8732782369146006,0.8343935073481027,0.8215193897012079
5,0.8136460554371002,0.8932584269662921,0.8515956259763445,0.8496408672360608
Average,0.8074792188807358,0.8758796291010553,0.8402457003874687,0.8292640303839398
