loss,accuracy,auc,precision,recall,val_loss,val_accuracy,val_auc,val_precision,val_recall
0.31098976731300354,0.8599110841751099,0.9397884607315063,0.8667489290237427,0.8649926781654358,0.1262458711862564,0.9566373229026794,0.9879137873649597,0.9361638426780701,0.9850558638572693
0.1068914383649826,0.9629060626029968,0.9903504848480225,0.9529657959938049,0.9772736430168152,0.08215639740228653,0.9725868105888367,0.9943423867225647,0.9554178714752197,0.9944942593574524
0.0639457032084465,0.9796460866928101,0.9955353736877441,0.9750206470489502,0.9863324165344238,0.08601445704698563,0.9750789403915405,0.9939969182014465,0.9638535976409912,0.9899323582649231
0.047689393162727356,0.9853576421737671,0.9971914887428284,0.9830200672149658,0.9890738725662231,0.07260037213563919,0.9808107614517212,0.9935678243637085,0.9680623412132263,0.9965392351150513
0.03440839424729347,0.989594578742981,0.9983019828796387,0.9882818460464478,0.9918550848960876,0.09126319736242294,0.9772387146949768,0.9915087223052979,0.9603450894355774,0.9981123208999634
0.029584035277366638,0.9913599491119385,0.998487114906311,0.9903331995010376,0.9931662082672119,0.07207027822732925,0.9828875064849854,0.9920854568481445,0.9713410139083862,0.9970111846923828
0.026422997936606407,0.9924399852752686,0.9986511468887329,0.9918308854103088,0.9937224388122559,0.07122384756803513,0.9852965474128723,0.9929218888282776,0.9752383828163147,0.9974830746650696
0.022575778886675835,0.9936030507087708,0.9988930225372314,0.9923945069313049,0.9953911304473877,0.06332465261220932,0.9845489263534546,0.9932292103767395,0.9722945094108582,0.999213457107544
0.02504916302859783,0.9931461215019226,0.9985729455947876,0.9926613569259644,0.9942389726638794,0.055942289531230927,0.9877055883407593,0.9955555200576782,0.9785725474357605,0.9985842108726501
0.02362535148859024,0.9936030507087708,0.9986045360565186,0.9929021596908569,0.9948746562004089,0.06648512929677963,0.98371821641922,0.9952110648155212,0.9856534600257874,0.9834827780723572
0.017959710210561752,0.994516909122467,0.9992413520812988,0.9940487742424011,0.9954706430435181,0.062105488032102585,0.9862103462219238,0.9942948818206787,0.9774795770645142,0.9968538880348206
,,,,,,,,,
