loss,accuracy,auc,precision,recall,val_loss,val_accuracy,val_auc,val_precision,val_recall
0.4871670603752136,0.7488532066345215,0.8074552416801453,0.7760739326477051,0.8761751651763916,0.3884437382221222,0.8238531947135925,0.8915295600891113,0.8428938388824463,0.9040403962135315
0.3560067415237427,0.8434250950813293,0.9042670726776123,0.8555294871330261,0.9206603765487671,0.37584224343299866,0.8418959975242615,0.9108782410621643,0.825558602809906,0.9669421315193176
0.3010310232639313,0.8691896200180054,0.93158358335495,0.8753613829612732,0.9372850060462952,0.30901357531547546,0.8727828860282898,0.9289569854736328,0.8616584539413452,0.9637281894683838
0.24604089558124542,0.8983180522918701,0.9525731801986694,0.8983617424964905,0.9556294679641724,0.2771792411804199,0.8911315202713013,0.9392562508583069,0.8856900930404663,0.96051424741745
0.20842446386814117,0.9141437411308289,0.9658992886543274,0.9124063849449158,0.963769793510437,0.29331761598587036,0.8877676129341125,0.945081353187561,0.8987230062484741,0.9370982646942139
0.18549571931362152,0.9248470664024353,0.973006010055542,0.9237761497497559,0.9670947194099426,0.25418299436569214,0.9051987528800964,0.9544781446456909,0.909649133682251,0.9522497653961182
0.1590408980846405,0.9363150000572205,0.9799424409866333,0.9333186745643616,0.9740884900093079,0.25397440791130066,0.9070336222648621,0.948535680770874,0.889767050743103,0.9820936918258667
0.14623720943927765,0.9421253800392151,0.9829755425453186,0.9402011632919312,0.9752350449562073,0.2622701823711395,0.9036697149276733,0.9512858390808105,0.8882867693901062,0.9784205555915833
0.12758256494998932,0.9503058195114136,0.986503005027771,0.9471526741981506,0.9801651239395142,0.2622789740562439,0.9165137410163879,0.9545393586158752,0.9231452941894531,0.9540863037109375
,,,,,,,,,
