Fold,Precision,Recall,F1 Score,ROC AUC
1,0.9804772234273319,1.0,0.9901423877327492,0.9987109481137307
2,0.9775700934579439,1.0,0.9886578449905482,0.9975044415820362
3,0.9774127310061602,1.0,0.9885773624091381,0.9979849897269164
4,0.9761212306750344,1.0,0.9879163439194423,0.9979943242361158
5,0.9726132190942472,1.0,0.9861164973241294,0.997454831859796
