loss,accuracy,auc,precision,recall,val_loss,val_accuracy,val_auc,val_precision,val_recall
0.504726231098175,0.7365443706512451,0.7946785092353821,0.7689478993415833,0.8640955090522766,0.41716596484184265,0.8033639192581177,0.8780502676963806,0.875546932220459,0.8231261372566223
0.3590686023235321,0.8431192636489868,0.9059297442436218,0.8602336645126343,0.9127640128135681,0.3570444583892822,0.8513761758804321,0.9112173914909363,0.861512303352356,0.9268738627433777
0.28284192085266113,0.8846330046653748,0.9401047825813293,0.8910847902297974,0.941919207572937,0.3140048682689667,0.8740060925483704,0.9264480471611023,0.8678541779518127,0.9574954509735107
0.24431921541690826,0.8972477316856384,0.9550378322601318,0.9001737833023071,0.9512166976928711,0.2940940856933594,0.8724770545959473,0.9326192140579224,0.8589379787445068,0.9684643745422363
0.20828035473823547,0.913226306438446,0.9662572145462036,0.913005530834198,0.9613177180290222,0.2823890745639801,0.8865443468093872,0.9437406063079834,0.8847945928573608,0.9547532200813293
0.18941715359687805,0.9223241806030273,0.9724915027618408,0.9210065603256226,0.9662534594535828,0.28412216901779175,0.8905198574066162,0.9439212083816528,0.8903583884239197,0.953839123249054
0.1705535352230072,0.9305810332298279,0.9774494767189026,0.927382230758667,0.9718778729438782,0.28179460763931274,0.8987767696380615,0.9404918551445007,0.892600417137146,0.9648080468177795
0.15823069214820862,0.9330275058746338,0.9808363914489746,0.932641327381134,0.9694674015045166,0.2900339663028717,0.9027522802352905,0.9416170716285706,0.8895833492279053,0.9757769703865051
0.14394447207450867,0.940672755241394,0.9841805696487427,0.9397163391113281,0.9733700752258301,0.25036123394966125,0.9039755463600159,0.950107991695404,0.9000853896141052,0.9634369015693665
0.1348133087158203,0.9440367221832275,0.9863380193710327,0.9431363940238953,0.9747474789619446,0.32162803411483765,0.9039755463600159,0.9344629645347595,0.9004273414611816,0.9629799127578735
0.128973588347435,0.945183515548706,0.9869092702865601,0.9449082016944885,0.9745178818702698,0.3129962086677551,0.8996942043304443,0.9406958818435669,0.8947368264198303,0.9634369015693665
,,,,,,,,,
