loss,accuracy,auc,precision,recall,val_loss,val_accuracy,val_auc,val_precision,val_recall
0.4943506717681885,0.748547375202179,0.7976019382476807,0.771928071975708,0.8866955637931824,0.3808702826499939,0.8284403681755066,0.8977792859077454,0.8277153372764587,0.9311797618865967
0.3655138313770294,0.8352446556091309,0.898248553276062,0.8497195243835449,0.9161341786384583,0.33279645442962646,0.8522935509681702,0.9283740520477295,0.8320610523223877,0.9695692658424377
0.2921449840068817,0.8729357719421387,0.9348257184028625,0.8797048926353455,0.9387266039848328,0.2847692370414734,0.8831804394721985,0.9392459392547607,0.8890860676765442,0.9382022619247437
0.24012862145900726,0.8990825414657593,0.95530104637146,0.9025524258613586,0.9521907567977905,0.2931983172893524,0.8859327435493469,0.9413480758666992,0.8692920207977295,0.971441924571991
0.20351597666740417,0.9149847030639648,0.9671880006790161,0.9153278470039368,0.9621177315711975,0.252681165933609,0.9027522802352905,0.9540143609046936,0.9018567800521851,0.9550561904907227
0.17988228797912598,0.9259938597679138,0.9746090173721313,0.9254529476165771,0.9674805998802185,0.27868178486824036,0.9079510569572449,0.9477438926696777,0.8863157629966736,0.9854868650436401
0.1630924642086029,0.9324923753738403,0.9791281223297119,0.9315518736839294,0.9705613851547241,0.24981561303138733,0.9116207957267761,0.9570472836494446,0.8914794325828552,0.9845505356788635
0.14377643167972565,0.940672755241394,0.9834755659103394,0.9387082457542419,0.9751254916191101,0.24935683608055115,0.9103975296020508,0.9535781145095825,0.8893113732337952,0.9854868650436401
0.1393629014492035,0.942278265953064,0.9846943020820618,0.9406844973564148,0.9753537178039551,0.2805216610431671,0.9165137410163879,0.9555035829544067,0.8975672125816345,0.9845505356788635
0.12547768652439117,0.9489296674728394,0.9875569343566895,0.9484821557998657,0.9768370389938354,0.24726560711860657,0.9195718765258789,0.9591565132141113,0.9066435098648071,0.9775280952453613
0.11225883662700653,0.9528287649154663,0.9899469614028931,0.951557457447052,0.9794614315032959,0.25278863310813904,0.9299694299697876,0.9606195092201233,0.9205999374389648,0.9770599007606506
0.11265278607606888,0.953899085521698,0.9899696707725525,0.9542469382286072,0.9780921936035156,0.27014124393463135,0.9336391687393188,0.9590466022491455,0.9199124574661255,0.9840824007987976
,,,,,,,,,
