Fold,Precision,Recall,F1 Score,ROC AUC
1,0.7731434384537131,0.6915377616014559,0.7300672430355427,0.8185125827112193
2,0.7457627118644068,0.6887661141804788,0.7161321206318813,0.8118188612926358
3,0.7790585975024016,0.7234611953612846,0.7502312673450509,0.8252500339050439
4,0.7757575757575758,0.7045871559633028,0.7384615384615385,0.8276323541789412
5,0.7416750756811302,0.6973434535104365,0.7188264058679706,0.8189144964122129
Average,0.7630794798518454,0.7011391361233917,0.7307437150683967,0.8204256657000105
