loss,accuracy,auc,precision,recall,val_loss,val_accuracy,val_auc,val_precision,val_recall
0.33185234665870667,0.8521257042884827,0.9318047761917114,0.8572717308998108,0.8626174330711365,0.13727425038814545,0.952646017074585,0.9869940280914307,0.9213921427726746,0.9925662279129028
0.11085102707147598,0.9625537395477295,0.9898229241371155,0.9526135325431824,0.9774646759033203,0.10203403979539871,0.9673506617546082,0.9929514527320862,0.9413556456565857,0.9987071752548218
0.06723510473966599,0.9788365364074707,0.9952290654182434,0.9732611775398254,0.9868971705436707,0.08248568326234818,0.9738306999206543,0.9952772855758667,0.9529538750648499,0.9983839392662048
0.04650314152240753,0.9865002632141113,0.9971964955329895,0.9828665256500244,0.9916331171989441,0.0707089751958847,0.9805599451065063,0.9950874447822571,0.9642857313156128,0.9991919994354248
0.03722074255347252,0.9888471364974976,0.9980441331863403,0.9864658117294312,0.9924224615097046,0.05706823989748955,0.9828030467033386,0.996738612651825,0.9677772521972656,0.9998384118080139
0.0279956366866827,0.9918378591537476,0.9986500144004822,0.9897130131721497,0.9948298931121826,0.0635627955198288,0.9833845496177673,0.9946824312210083,0.9692789912223816,0.9993535876274109
0.02548539824783802,0.9926685690879822,0.9988407492637634,0.9916177988052368,0.9944747090339661,0.05356486141681671,0.9853784441947937,0.9955004453659058,0.9759341478347778,0.9961215257644653
0.0260712131857872,0.9930216670036316,0.9985284805297852,0.9917007684707642,0.9950667023658752,0.06455039232969284,0.9853784441947937,0.9945014715194702,0.9735350012779236,0.9987071752548218
0.019600016996264458,0.994558572769165,0.9989429712295532,0.994088888168335,0.9955797791481018,0.0654066950082779,0.9847137928009033,0.9943468570709229,0.9727559089660645,0.9982223510742188
,,,,,,,,,
